episode,step,score,best_as,best_step,best_bcrs,best_mcrs,best_crs,best_score
109,1018,27.934133946509647,-22.08908389471744,1018,44.97766982946102,5.0455480117660665,50.02321784122709,27.934133946509647
110,1024,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
111,1031,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
112,1038,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
113,1049,5.124955158787344,-4.258255761604424,1044,22.679395782947633,2.2831021065521018,24.962497889499737,20.704242127895306
114,1058,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
115,1068,5.124955158787348,-2.9591370656300278,1064,23.072496497677175,2.2873454950393732,25.359841992716547,22.400704927086526
116,1076,-3.1496321329001997,-19.862265896583455,1073,21.583338180720574,2.1294865080076635,23.712824688728237,3.850558792144785
117,1086,-24.15298667393565,-inf,0,-inf,-inf,-inf,0.0
118,1093,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
119,1101,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
120,1108,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
121,1118,28.29953889690185,-22.900768984470595,1118,46.171733423555466,5.02857445781698,51.200307881372446,28.29953889690185
122,1132,2.7114228711397104,-25.459137065630166,1132,25.768771146679775,2.401788790090106,28.17055993676988,2.7114228711397104
123,1144,-24.438399690400466,-inf,0,-inf,-inf,-inf,0.0
124,1154,5.356908324082551,-4.258255761604428,1150,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
125,1160,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
126,1167,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
127,1177,-24.15298667393565,-inf,0,-inf,-inf,-inf,0.0
128,1186,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
129,1193,-19.15868655757489,-inf,0,-inf,-inf,-inf,0.0
130,1203,5.356908324082551,-4.258255761604428,1199,22.67939578294763,2.2831021065521018,24.96249788949973,20.704242127895306
131,1214,0.13793249919918438,-14.209137065630124,1211,23.306828354168918,2.3035316145276106,25.610359968696528,11.401222903066401
132,1221,-19.158686557574896,-inf,0,-inf,-inf,-inf,0.0
133,1228,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
134,1235,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
135,1243,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
136,1250,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
137,1256,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
138,1263,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
139,1270,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
140,1281,5.356908324082551,-4.258255761604428,1277,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
141,1287,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
142,1299,-21.32506873690692,-inf,0,-inf,-inf,-inf,0.0
143,1306,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
144,1314,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
145,1318,-23.23398911045571,-inf,0,-inf,-inf,-inf,0.0
146,1325,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
147,1336,5.356908324082551,-4.258255761604424,1332,22.679395782947633,2.2831021065521018,24.962497889499737,20.704242127895306
148,1346,-20.49937481551856,-inf,0,-inf,-inf,-inf,0.0
149,1351,5.248552719274636,-7.628308932517117,1349,21.38506628643209,2.1397931219531943,23.524859408385282,15.896550475868167
150,1357,31.683849122725615,-18.878308932517115,1357,45.45720260465485,5.104955450587871,50.562158055242726,31.683849122725615
151,1368,4.541202779152783,-14.209137065630125,1365,24.107581383937973,2.30353161452761,26.411112998465583,12.201975932835463
152,1375,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
153,1383,-19.15868655757489,-inf,0,-inf,-inf,-inf,0.0
154,1390,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
155,1399,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
156,1408,-21.890770528297125,-inf,0,-inf,-inf,-inf,0.0
157,1418,5.356908324082551,-4.258255761604428,1414,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
158,1425,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
159,1431,-25.366913624580416,-inf,0,-inf,-inf,-inf,0.0
160,1439,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
161,1450,-24.15298667393565,-inf,0,-inf,-inf,-inf,0.0
162,1464,31.2261900360176,-26.758255761604417,1464,52.384906646402676,5.599539151219345,57.98444579762202,31.2261900360176
163,1469,5.248552719274636,-2.959137065630027,1466,20.936543909348444,2.0920679886685556,23.028611898017,20.069474832386973
164,1477,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
165,1485,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
166,1491,-24.351707128955443,-inf,0,-inf,-inf,-inf,0.0
167,1498,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
168,1508,5.356908324082551,-4.258255761604424,1504,22.679395782947633,2.2831021065521018,24.962497889499737,20.704242127895306
169,1519,-24.15298667393565,-inf,0,-inf,-inf,-inf,0.0
170,1530,5.356908324082551,-4.258255761604428,1526,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
171,1538,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
172,1546,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
173,1555,5.356908324082551,-4.258255761604424,1551,22.679395782947633,2.2831021065521018,24.962497889499737,20.704242127895306
174,1566,9.310068147151158,-1.5469146421866853,1561,23.092733662350405,2.2915888835266447,25.384322545877048,23.837407903690366
175,1576,5.356908324082551,-4.258255761604428,1572,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
176,1584,27.934133946509647,-22.089083894717437,1584,44.97766982946102,5.045548011766067,50.02321784122709,27.934133946509647
177,1594,5.506467624501036,-2.9591370656300278,1591,23.07249649767718,2.287345495039373,25.35984199271655,22.400704927086526
178,1605,5.124955158787348,-2.9591370656300304,1601,23.072496497677182,2.2873454950393732,25.359841992716554,22.400704927086526
179,1615,5.356908324082551,-4.258255761604428,1611,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
180,1622,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
181,1634,-24.15298667393565,-inf,0,-inf,-inf,-inf,0.0
182,1645,32.18485060893544,-20.78996519874316,1645,47.63834710201533,5.336468705663267,52.974815807678596,32.18485060893544
183,1652,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
184,1659,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
185,1665,-25.366913624580416,-inf,0,-inf,-inf,-inf,0.0
186,1671,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
187,1681,-18.05512893662256,-inf,0,-inf,-inf,-inf,0.0
188,1691,5.356908324082551,-4.258255761604428,1687,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
189,1703,4.541202779152782,-8.612265896583384,1699,23.552452271964412,2.3339141597612723,25.886366431725683,17.2741005351423
190,1712,-24.15298667393565,-inf,0,-inf,-inf,-inf,0.0
191,1719,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
192,1726,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
193,1739,4.4546107181067836,-22.90076898447059,1739,24.921087137740816,2.434292564836559,27.355379702577373,4.4546107181067836
194,1746,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
195,1756,-20.49937481551856,-inf,0,-inf,-inf,-inf,0.0
196,1763,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
197,1771,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
198,1780,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
199,1789,-24.553993281746482,-inf,0,-inf,-inf,-inf,0.0
200,1797,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
201,1804,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
202,1814,5.124955158787351,-2.9591370656300278,1810,23.072496497677175,2.287345495039373,25.359841992716547,22.40070492708653
203,1825,5.124955158787348,-2.9591370656300278,1821,23.07249649767718,2.2873454950393732,25.359841992716554,22.400704927086526
204,1835,-20.49937481551856,-inf,0,-inf,-inf,-inf,0.0
205,1842,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
206,1846,-23.23398911045571,-inf,0,-inf,-inf,-inf,0.0
207,1857,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
208,1867,-24.15298667393565,-inf,0,-inf,-inf,-inf,0.0
209,1874,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
210,1885,5.124955158787344,-4.258255761604428,1880,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
211,1893,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
212,1900,-19.15868655757489,-inf,0,-inf,-inf,-inf,0.0
